category,title,year,authors,doi,openalex_id,cited_by_count,preferred_pdf_url,open_access_url,landing_page_url,stored_pdf,download_status,abstract
costly_information,On the Impossibility of Informationally Efficient Markets,1980,Sanford J. Grossman; Joseph E. Stiglitz,https://doi.org/10.7916/d8765r99,https://openalex.org/W1499550068,5332,https://academiccommons.columbia.edu/doi/10.7916/D8ZP4H27/download,,https://econpapers.repec.org/RePEc:cla:levarc:1908,papers\costly_information\1980_grossman_stiglitz_impossibility_of_informationally_efficient_markets.pdf,downloaded,"If competitive equilibrium is defined as a situation in which prices are such that all arbitrage profits are eliminated, is it possible that a competitive economy always be in equilibrium? Clearly not, for then those who arbitrage make no (private) return from their (privately) costly activity. Hence the assumptions that all markets, including that for information, are always in equilibrium and always perfectly arbitraged are inconsistent when arbitrage is costly. We propose here a model in which there is an equilibrium degree of disequilibrium: prices reflect the information of informed individuals (arbitrageurs) but only partially, so that those who expend resources to obtain information do receive compensation. How informative the price system is depends on the number of individuals who are informed; but the number of individuals who are informed is itself an endogenous variable in the model. The model is the simplest one in which prices perform a well-articulated role in conveying information from the informed to the uninformed. When informed individuals observe information that the return to a security is going to be high, they bid its price up, and conversely when they observe information that the return is going to be low. Thus the price system makes publicly available the information obtained by informed individuals to the uniformed. In general, however, it does this imperfectly; this is perhaps lucky, for were it to do it perfectly, an equilibrium would not exist. In the introduction, we shall discuss the general methodology and present some con-"
costly_information,Information Markets and the Comovement of Asset Prices,2006,Laura Veldkamp,https://doi.org/10.1111/j.1467-937x.2006.00397.x,https://openalex.org/W3122323226,416,https://business.columbia.edu/sites/default/files-efs/imce-uploads/lveldkamp/papers/comovement.pdf,,https://doi.org/10.1111/j.1467-937x.2006.00397.x,papers\costly_information\2006_veldkamp_information_markets_and_comovement_of_asset_prices.pdf,downloaded,"Traditional asset pricing models predict that covariance between prices of different assets should be lower than what we observe in the data. This paper introduces markets for information that generate high price covariance within a rational expectations framework. When information is costly, rational investors only buy information about a subset of the assets. Because information production has high fixed costs, competitive producers charge more for low-demand information than for high-demand information. The low price of high-demand information makes investors want to purchase the same information that others are purchasing. When investors price assets using a common subset of information, news about one asset affects the other assets' prices; asset prices comove. The cross-sectional and time-series properties of comovement are consistent with this explanation. Copyright 2006, Wiley-Blackwell."
costly_information,Information acquisition and mutual funds,2009,Diego Garcı́a; Joel M. Vanden,https://doi.org/10.1016/j.jet.2009.03.002,https://openalex.org/W2138167054,88,https://leeds-faculty.colorado.edu/garcia/paper22v14.pdf,,https://doi.org/10.1016/j.jet.2009.03.002,papers\costly_information\2009_garcia_vanden_information_acquisition_and_mutual_funds.pdf,downloaded,
costly_information,Information Immobility and the Home Bias Puzzle,2009,Stijn Van Nieuwerburgh; Laura Veldkamp,https://doi.org/10.1111/j.1540-6261.2009.01462.x,https://openalex.org/W3123503769,891,https://business.columbia.edu/sites/default/files-efs/citation_file_upload/Van_Nieuwerburgh_Information_Immobility.pdf,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1540-6261.2009.01462.x,https://doi.org/10.1111/j.1540-6261.2009.01462.x,papers\costly_information\2009_van_nieuwerburgh_veldkamp_information_immobility_and_home_bias.pdf,downloaded,"ABSTRACT Many argue that home bias arises because home investors can predict home asset payoffs more accurately than foreigners can. But why does global information access not eliminate this asymmetry? We model investors, endowed with a small home information advantage, who choose what information to learn before they invest. Surprisingly, even when home investors can learn what foreigners know, they choose not to: Investors profit more from knowing information others do not know. Learning amplifies information asymmetry. The model matches patterns of local and industry bias, foreign investments, portfolio outperformance, and asset prices. Finally, we propose new avenues for empirical research."
costly_information,Information tradeoffs in dynamic financial markets,2016,Efstathios Avdis,https://doi.org/10.1016/j.jfineco.2015.11.005,https://openalex.org/W3125239338,27,https://financetheory.org/public/storage/working_paper/00013-00.pdf,,https://doi.org/10.1016/j.jfineco.2015.11.005,,404 Client Error: Not Found for url: https://www.financetheory.org/public/storage/working_paper/00013-00.pdf,
costly_information,Are there too many safe securities? Securitization and the incentives for information production,2013,Samuel Hanson; Adi Sunderam,https://doi.org/10.1016/j.jfineco.2013.02.005,https://openalex.org/W2158903759,70,http://nrs.harvard.edu/urn-3:HUL.InstRepos:10578869,http://nrs.harvard.edu/urn-3:HUL.InstRepos:10578869,https://doi.org/10.1016/j.jfineco.2013.02.005,,not a pdf response (text/html; charset=utf-8),
value_of_information,Estimating the Value of Information,2018,Ohad Kadan; Asaf Manela,https://doi.org/10.1093/rfs/hhy087,https://openalex.org/W3122408793,26,,,https://doi.org/10.1093/rfs/hhy087,,no url provided,"We derive a general expression for the value of information to a price-taking investor in a dynamic environment and provide a framework for its estimation. We study the value of both private and public information and break it into its instrumental and psychic parts. To illustrate, we estimate and rank the values of leading macroeconomic indicators (GDP, employment, etc.). Using variations in option prices, we find that consumer-investors with conventional preference parameters would pay 3 to 5 bps of their wealth for a one-time private peek into these indicators. Such signals provide substantial instrumental value but a minor psychic value.Received August 29, 2016; editorial decision June 6, 2018 by Editor Itay Goldstein. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online."
prediction_asset_pricing,Digesting Anomalies: An Investment Approach,2015,Kewei Hou; Xue Chen; Lu Zhang,https://doi.org/10.2139/ssrn.2152674,https://openalex.org/W2598127781,158,https://www.nber.org/system/files/working_papers/w18435/w18435.pdf,https://doi.org/10.2139/ssrn.2152674,https://doi.org/10.2139/ssrn.2152674,papers\prediction_asset_pricing\2015_hou_xue_zhang_digesting_anomalies.pdf,downloaded,
prediction_asset_pricing,Empirical Asset Pricing via Machine Learning,2020,Shihao Gu; Bryan Kelly; Dacheng Xiu,https://doi.org/10.1093/rfs/hhaa009,https://openalex.org/W4205539948,2030,https://www.nber.org/system/files/working_papers/w25398/w25398.pdf,https://academic.oup.com/rfs/article-pdf/33/5/2223/33209812/hhaa009.pdf,https://doi.org/10.1093/rfs/hhaa009,papers\prediction_asset_pricing\2020_gu_kelly_xiu_empirical_asset_pricing_via_machine_learning.pdf,downloaded,"Abstract We perform a comparative analysis of machine learning methods for the canonical problem of empirical asset pricing: measuring asset risk premiums. We demonstrate large economic gains to investors using machine learning forecasts, in some cases doubling the performance of leading regression-based strategies from the literature. We identify the best-performing methods (trees and neural networks) and trace their predictive gains to allowing nonlinear predictor interactions missed by other methods. All methods agree on the same set of dominant predictive signals, a set that includes variations on momentum, liquidity, and volatility. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online."
prediction_asset_pricing,The Characteristics that Provide Independent Information about Average U.S. Monthly Stock Returns,2017,Jeremiah Green; John R. M. Hand; Frank Zhang,https://doi.org/10.1093/rfs/hhx019,https://openalex.org/W3121274430,630,,,https://doi.org/10.1093/rfs/hhx019,,no url provided,"We take up Cochrane’s (2011) challenge to identify the firm characteristics that provide independent information about average U.S. monthly stock returns by simultaneously including 94 characteristics in Fama-MacBeth regressions that avoid overweighting microcaps and adjust for data-snooping bias. We find that while 12 characteristics are reliably independent determinants in non-microcap stocks from 1980 to 2014 as a whole, return predictability sharply fell in 2003 such that just two characteristics have been independent determinants since then. Outside of microcaps, the hedge returns to exploiting characteristics-based predictability also have been insignificantly different from zero since 2003. Received January 28, 2015; editorial decision November 28, 2016 by Editor Andrew Karolyi."
alternative_data,Giving Content to Investor Sentiment: The Role of Media in the Stock Market,2007,Paul C. Tetlock,https://doi.org/10.1111/j.1540-6261.2007.01232.x,https://openalex.org/W3122944446,4341,https://business.columbia.edu/sites/default/files-efs/pubfiles/3097/Tetlock_Media_Sentiment_JF.pdf,,https://doi.org/10.1111/j.1540-6261.2007.01232.x,papers\alternative_data\2007_tetlock_giving_content_to_investor_sentiment.pdf,downloaded,"ABSTRACT I quantitatively measure the interactions between the media and the stock market using daily content from a popular Wall Street Journal column. I find that high media pessimism predicts downward pressure on market prices followed by a reversion to fundamentals, and unusually high or low pessimism predicts high market trading volume. These and similar results are consistent with theoretical models of noise and liquidity traders, and are inconsistent with theories of media content as a proxy for new information about fundamental asset values, as a proxy for market volatility, or as a sideshow with no relationship to asset markets."
alternative_data,More Than Words: Quantifying Language to Measure Firms' Fundamentals,2008,Paul C. Tetlock; Maytal Saar‐Tsechansky; Sofus A. Macskassy,https://doi.org/10.1111/j.1540-6261.2008.01362.x,https://openalex.org/W3122563224,2208,https://business.columbia.edu/sites/default/files-efs/pubfiles/3096/More_Than_Words_tetlock.pdf,,https://doi.org/10.1111/j.1540-6261.2008.01362.x,papers\alternative_data\2008_tetlock_saar_tsechansky_macskassy_more_than_words.pdf,downloaded,"ABSTRACT We examine whether a simple quantitative measure of language can be used to predict individual firms' accounting earnings and stock returns. Our three main findings are: (1) the fraction of negative words in firm‐specific news stories forecasts low firm earnings; (2) firms' stock prices briefly underreact to the information embedded in negative words; and (3) the earnings and return predictability from negative words is largest for the stories that focus on fundamentals. Together these findings suggest that linguistic media content captures otherwise hard‐to‐quantify aspects of firms' fundamentals, which investors quickly incorporate into stock prices."
